maso,name
PD,Thiết bị phân phát chương trình
CNMC,Co ngang
BGTT,Bộ giao tiếp trạm
CDT2,Cáp đồng trục
UPSC,UPS
LHTT,Loa hộp treo tường
TDTV,Trạm đọc thẻ vào
CAM,Camera
CNC,Cáp nguồn
CXMC,Co xuống
SWI,Switch
OCAM,Ổ cắm
SPLIT,Bộ chia màn hình
IBMS,IBMS LAN Switches
STOR,Thiết bị lưu trữ
AMP,Amplier
CNTC,Co ngang
CLKC,Co lên
UPS,Bộ lưu điện
COMC,Máy vi tính
FOPP,Fiber Optic Patch Panel
ADA,Adapter
OCD,Ổ cắm đơn
BPPN,Bộ phân phối nguồn
THMC,Thập
CNKC,Co ngang
BCBX,Bộ cảm biến xe
SCAB,Cáp nguồn
ENCO,Bộ giải mã
LK,Loa kèn
TBPAT,Thiết bị phát âm thanh
TC,Thang cáp
CXKC,Co xuống
HDN,Hộp đấu nối
TDTR,Trạm đọc thẻ ra
CLMC,Co lên
BGC,Bàn gọi chọn vùng
SWIT,Switch
CLTC,Co lên
CABLE,Cáp 4P_CAT6_UTP
LAT,Loa âm trần
GMC,Giảm
BTB,Bảng thông báo
BGT,Bộ giao tiếp máy tính
TRUNK,Trunking
GTC,Giảm
LCD,Màn hình LCD
PIPEP,Ống luồn
BTH,Bộ phát tín hiệu báo cháy
THTC,Thập
CXTC,Co xuống
TKC,T
CPB,Carpark Barrier
CCN,Cáp chống nhiễu
BLMHT,Bộ làm mát hệ thống
COM,Máy vi tính
PRIN,Máy in
PAMP,Pre_Amplier
TMC,T
KC,Khay cáp
THKC,Thập
BUTT,Nút nhấn điều khiển
KB,Key Board
BCV,Bộ chia vùng
GKC,Giảm
TTC,T
HDD,HDD
ER,Cọc tiếp địa
Rack,Tủ Rack
AL,Cáp AL
FT,Ống thủy tinh cách điện
HDPEC,Ống HDPE
CORJ,Bộ chuyển đổi cáp quang_RJ45
CDT,Kim phân tán sét - CHARGE DISSIPATION TERMINALS
CU,Cáp CU
CON,Ống luồn cáp thoát sét
LCAB,Cáp thoát sét
GIC,Ống GI
TB,Hộp kiểm tra
CADW,Mối hàn hóa nhiệt
EW,Giếng khoan tiếp địa
EC,Hóa chất giảm điện trở đất
BOX2NGA,Box 2 ngã
SUP,Hệ giữ trụ kim thu sét
LIP,Phíp cách điện
BAR,Thanh la
CAMC,Camera
ECAB,Cáp tiếp địa
UPTC,Cáp UTP
LAT1,Kim thu sét tia tiên đạo
LPP,Trụ đỡ kim thu sét
LR,Kim thu sét cổ điển
OF,Cáp Quang
OLC,Ống luồn
LCOU,Bộ đếm sét
DC,Cáp thoát sét chống nhiễu
PVCC,Ống PVC
MCC,Tủ điều khiển trung tâm hệ cơ
OPIPE,Ống dẫn dầu
BMH,Hố ga xây gạch
FUME,Ống khói
POLE,Trụ đèn
DENABC,Đèn ABC
ANTIV,Bệ quán tính_lò xo chống rung
HSOC,Ổ cắm công nghiệp
UR,Bồn tiểu
PIPES,Ống
LAD,Thang cáp _ladder_
CP,Tủ điều khiển
TRAY,Máng cáp lỗ_tray_
CMH,Hố ga bêtong
LEDBA,Đèn led thanh
RJOS,Khớp nối mềm
FPVC,Ống  mềm PVC
BWC,Busway CU
DB,Tủ Điện phân phối
DOWNL,Đèn Downlight
ELT,Co
LAV,Chậu rửa tay
SINK,Chậu rửa bếp
BRAN,Cần đèn
SH,Vòi sen
DIM,Dimmer
FGI,Ống  mềm GI
LEVEL,Co lượn
WM,Đồng hồ nước
FHDPE,Ống xoắn HDPE
OPUMP,Bơm dầu
LEDT,Đèn led ống
TT,T
DENLEDNODIMMER,"Đèn LED âm trần, không có điều chỉnh ánh sáng (9W)"
GAVS,Van cổng
OTANK,Bồn dầu
INS,Cách âm
ANEX,Đèn chống nổ
