maso,name,idpic
CNMC,Co ngang,18kGyDjcgRMF5rG_xVDZuGX539_i3YxSS
BGTT,Bộ giao tiếp trạm,1fKNzzCw6i0AM9h4wtDFS-flqEm602oA2
CDT2,Cáp đồng trục,1W3lYQ7egLhey1Cr4no0Yf0k1f7uXUeMx
UPSC,UPS,1d9L81uD2j59SebnsSn3vfeR7qF-GDUkR
LHTT,Loa hộp treo tường,1TR40QWlxYO2mJ3Mz70MCeLMctUS2R0tc
TDTV,Trạm đọc thẻ vào,1RjU-ssEz59_KKKbdzkIt3nscvZrqmT2a
CAM,Camera,1eVVYFN6vBPGogYcrC6xpC5TyLJKRgr1Q
CNC,Cáp nguồn,1-G06-F9aiK1veO7_3-fBmguxuubgOG78
CXMC,Co xuống,1RSFLMvDxKg4tjHrDd-iM3qvjZuSC9w6J
SWI,Switch,1wf9lzl0AbOYfFQvSSyaaFkPS7OIDSWWn
OCAM,Ổ cắm,1V1tWsYr8Ur9KK7bylkI7S00SvqXQatKC
SPLIT,Bộ chia màn hình,1qPC7uiF3cbQyqzwVUab6aMm5AGtCIBZC
IBMS,IBMS LAN Switches,1qPC7uiF3cbQyqzwVUab6aMm5AGtCIBZC
STOR,Thiết bị lưu trữ,1mNTjip1MKsu_pPLW7kUqQGXdDXNHfiUO
AMP,Amplier,1kxNZb3cZLWWM3cVZlcL1H2lS7ygEI3ai
CNTC,Co ngang,1qmHZf6VQ_Xyj32Z0aMxw5lMLssnl5MK_
CLKC,Co lên,19LrH6JZ0koKD0jxDZcdaUdAm7_iT_N_c
UPS,Bộ lưu điện,1fJOjOLvBRUAv74IuS2aqoTJSZ1jhRFet
COMC,Máy vi tính,1I8WCfZfc0MGqQ5cuts1OLlVnzSqvbajV
FOPP,Fiber Optic Patch Panel,1CCmjZC8hNkJvMhy9Z0XmdB7FE-YVwU1z
ADA,Adapter,1-WyDVQ8pH8vnnjZZIbnA4uYeMpVoIy1A
OCD,Ổ cắm đơn,1qdhUi1s9lM2mgP-f7l-8ErPUIVDrvoxH
BPPN,Bộ phân phối nguồn,1otY3I5dChCE9jHdRR5B0YNq5RmGbk7Ao
THMC,Thập,13r-CCi20ITM1B6vP5NMl0eJtC_I3p3B8
CNKC,Co ngang,1YKdbyqYaS57d2hj5OZDGSECPGlh86DWI
BCBX,Bộ cảm biến xe,15ym8hTN9A-GRGwmC76Lz8cptDF_A8HDF
SCAB,Cáp nguồn,1s1rLSuG3CZwOZhPTsxYx705ZepQkrhXy
ENCO,Bộ giải mã,1aEB9hK6jUl-NE7ItuwoalrQ3Nj4zj9Cf
LK,Loa kèn,17ha_uanYjZ2o9deQZzCGRLVr0BUS97Xm
TBPAT,Thiết bị phát âm thanh,1WqFyX9Lftmaoia2ntszo8Slnx-lVaev8
TC,Thang cáp,1h5gM_6zWGfBOfTB-YuRQbndEp6mrlMR_
CXKC,Co xuống,1NOe-j5Ko2PFIvvZ2kmlgGOhaNB4wIPrG
HDN,Hộp đấu nối,1HIQL0uGrGC5pXEP2MNmiu0_6xD9xWsg_
